date,symbol,name,close,volume,turnover,pct_change,vol_ratio_20,knee_score,knee_grade,knee_reasons,knee_confirmed,shoulder_score,shoulder_grade,shoulder_reasons,shoulder_confirmed,analysis_date,run_at
20260610,383220,F&F,79000,177694,13800428900,5.9,1.69,100,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복 | 20일선 상회 추세 | 상승 탄력 확대,1,5,Neutral,거래량 이상,0,20260610,2026-06-10T09:50:35
20260610,093370,후성,16240,32761114,514269188440,20.12,8.63,80,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 상회 추세 | 상승 탄력 확대,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260610,2026-06-10T09:50:35
20260610,319660,피에스케이,145800,1279546,195333385000,5.5,2.24,80,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 상회 추세 | 상승 탄력 확대,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260610,2026-06-10T09:50:35
20260610,086900,메디톡스,81600,115584,9558494400,3.16,1.72,75,Watch,종가 반등 | RSI 반등 | MACD 개선 | 거래량 증가 | 상승 탄력 확대,0,5,Neutral,거래량 이상,0,20260610,2026-06-10T09:50:35
20260610,112610,씨에스윈드,41350,766781,32505236800,2.48,2.11,75,Watch,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선 | 거래량 증가,0,5,Neutral,거래량 이상,0,20260610,2026-06-10T09:50:35
20260610,069080,웹젠,10820,137682,1408788570,8.96,1.31,70,Watch,종가 반등 | MACD 개선 | 20일선 회복 | 상승 탄력 확대,1,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,443060,HD현대마린솔루션,229000,217926,48839850500,9.05,0.67,70,Watch,종가 반등 | MACD 개선 | 20일선 회복 | 20일선 상회 추세,1,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,131970,두산테스나,135500,660550,91661168350,8.14,1.5,65,Watch,종가 반등 | MACD 개선 | 거래량 증가 | 상승 탄력 확대,0,5,Neutral,거래량 이상,0,20260610,2026-06-10T09:50:35
20260610,004170,신세계,685000,164540,110350940000,9.78,1.36,60,Neutral,종가 반등 | MACD 개선 | 20일선 상회 추세 | 상승 탄력 확대,0,20,Neutral,최근 20일 고점권,0,20260610,2026-06-10T09:50:35
20260610,023530,롯데쇼핑,195500,232402,44672360050,7.48,1.24,60,Neutral,종가 반등 | MACD 개선 | 20일선 상회 추세 | 상승 탄력 확대,0,20,Neutral,최근 20일 고점권,0,20260610,2026-06-10T09:50:35
20260610,084370,유진테크,154900,404190,63826523000,5.09,1.47,60,Neutral,종가 반등 | MACD 개선 | 20일선 상회 추세 | 상승 탄력 확대,0,20,Neutral,최근 20일 고점권,0,20260610,2026-06-10T09:50:35
20260610,024110,기업은행,20900,1409813,29297969950,1.7,0.81,55,Neutral,종가 반등 | MACD 개선 | 20일선 회복,1,20,Neutral,최근 20일 고점권,0,20260610,2026-06-10T09:50:35
20260610,000080,하이트진로,15900,140056,2201289080,0.38,0.68,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,000250,삼천당제약,258500,278746,71569733250,6.6,1.24,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,000720,현대건설,130300,1145106,147196726050,6.54,1.18,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,009240,한샘,32200,112641,3624287575,7.69,1.23,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,010140,삼성중공업,26000,5349329,137835025800,0.58,0.8,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,012450,한화에어로스페이스,1031000,199694,205246805000,1.48,0.85,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,015760,한국전력,36400,2100587,75770357400,0.83,0.82,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,029780,삼성카드,46200,125276,5699098725,1.87,0.8,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,030000,제일기획,18420,594399,10826680475,0.99,1.1,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,030200,KT,55900,416842,22810214042,3.9,0.77,55,Neutral,종가 반등 | MACD 개선 | 20일선 회복,1,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,035250,강원랜드,15020,913240,13657947800,2.04,1.24,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,035760,CJ ENM,36350,101571,3645304975,0.69,0.78,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,120110,코오롱인더,69000,476434,32983333500,7.64,1.25,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,183300,코미코,107100,311863,33410191300,6.89,1.17,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,263750,펄어비스,40100,871224,35226676175,3.89,1.12,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,267260,HD현대일렉트릭,986000,258120,254052478428,4.45,1.34,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,272210,한화시스템,91600,977257,88294808350,5.77,1.15,55,Neutral,종가 반등 | RSI 반등 | MACD 개선 | 상승 탄력 확대,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,323410,카카오뱅크,24750,2237474,54870952150,1.43,1.65,50,Neutral,종가 반등 | MACD 개선 | 거래량 증가,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260610,2026-06-10T09:50:35
20260610,033780,KT&G,185100,501047,91993453100,0.43,1.31,45,Neutral,종가 반등 | MACD 개선 | 20일선 상회 추세,0,20,Neutral,최근 20일 고점권,0,20260610,2026-06-10T09:50:35
20260610,069960,현대백화점,170900,249098,42039683150,2.46,1.16,45,Neutral,종가 반등 | MACD 개선 | 20일선 상회 추세,0,20,Neutral,최근 20일 고점권,0,20260610,2026-06-10T09:50:35
20260610,036930,주성엔지니어링,199000,4303341,907338067900,3.81,1.26,45,Neutral,종가 반등 | 20일선 상회 추세 | 상승 탄력 확대,0,15,Neutral,MACD 둔화,0,20260610,2026-06-10T09:50:35
20260610,001450,현대해상,37550,850849,31921244250,1.76,0.85,45,Neutral,종가 반등 | MACD 개선 | 20일선 상회 추세,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,278470,에이피알,410500,244311,101236085000,1.36,0.82,45,Neutral,종가 반등 | MACD 개선 | 20일선 상회 추세,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,010060,OCI홀딩스,263500,381514,103314016250,2.93,0.88,40,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260610,2026-06-10T09:50:35
20260610,267250,HD현대,242500,142573,34289075250,0.62,0.68,40,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260610,2026-06-10T09:50:35
20260610,000100,유한양행,76900,211718,15995331200,0.26,0.59,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,000880,한화,119200,260083,30627517500,2.94,0.82,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,001430,세아베스틸지주,46150,141975,6489865625,0.65,0.4,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,002790,아모레퍼시픽홀딩스,23150,200466,4631870900,1.76,1.25,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,003620,KG모빌리티,3160,1305403,4148847945,0.32,0.99,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,005250,녹십자홀딩스,10180,200270,2011448030,3.14,0.23,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,006260,LS,390000,164141,63891056750,0.65,0.56,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,006360,GS건설,26800,969252,25581767875,1.32,0.8,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,008730,율촌화학,17260,127590,2174758085,0.29,1.29,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,009540,HD한국조선해양,385500,310424,115798753500,6.34,1.08,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,009830,한화솔루션,36600,2868224,104944644700,2.95,1.32,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,010120,LS ELECTRIC,236000,1331589,311946255250,7.52,1.05,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,012630,HDC,20450,110308,2208222375,3.39,0.79,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,017960,한국카본,30900,282816,8712234525,1.31,0.5,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,028050,삼성E&A,47300,1356411,62693158925,1.83,0.69,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,036460,한국가스공사,35150,236554,8144254600,3.38,0.83,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,042660,한화오션,110200,1652201,177239889100,7.83,0.91,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,047050,포스코인터내셔널,58300,417228,23681754750,3.55,0.69,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,047810,한국항공우주,137600,702438,95073383050,7.75,1.06,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,064350,현대로템,189400,515083,96324121400,4.7,0.82,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,086450,동국제약,18200,442119,8019984135,2.65,1.04,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,103140,풍산,70100,134950,9429716100,1.45,0.84,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,139130,iM금융지주,17300,698492,11949662155,0.12,1.02,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,139480,이마트,87500,154715,13351858250,0.23,0.55,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,141080,리가켐바이오,130900,286782,37035871900,2.27,0.56,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
20260610,161890,한국콜마,83000,144964,11953235150,1.47,0.68,40,Neutral,종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260610,2026-06-10T09:50:35
