date,open,high,low,close,volume,turnover,symbol,name,fetched_at,analysis_date
20260312,16560,17100,16560,17100,108185,1830235175,000080,하이트진로,2026-03-12T08:49:33,20260312
20260312,104400,104800,98600,99900,486079,48652876000,000100,유한양행,2026-03-12T08:49:33,20260312
20260312,116400,117700,111500,115600,71226,8258152600,000120,CJ대한통운,2026-03-12T08:49:33,20260312
20260312,1083000,1150000,1080000,1143000,86743,97609374000,000150,두산,2026-03-12T08:49:33,20260312
20260312,44000,45450,43800,44750,109607,4903913725,000210,DL,2026-03-12T08:49:33,20260312
20260312,25600,26150,25050,25850,128415,3291983575,000240,한국앤컴퍼니,2026-03-12T08:49:33,20260312
20260312,765000,795000,762000,787000,149618,117035276000,000250,삼천당제약,2026-03-12T08:49:33,20260312
20260312,161500,167000,161300,167000,1347018,222950996150,000270,기아,2026-03-12T08:49:33,20260312
20260312,938000,963000,928000,930000,3510253,3289348277500,000660,SK하이닉스,2026-03-12T08:49:33,20260312
20260312,52300,54300,52300,53200,29537,1570379700,000670,영풍,2026-03-12T08:49:33,20260312
20260312,147200,161900,147200,155700,1490261,232402159700,000720,현대건설,2026-03-12T08:49:33,20260312
20260312,491000,493000,485000,490000,125908,61556752500,000810,삼성화재,2026-03-12T08:49:33,20260312
20260312,129300,129400,125700,128600,205800,26342403900,000880,한화,2026-03-12T08:49:33,20260312
20260312,182500,182500,177000,180300,121862,21864349750,001040,CJ,2026-03-12T08:49:33,20260312
20260312,72000,72000,68500,71300,256590,18044881150,001430,세아베스틸지주,2026-03-12T08:49:33,20260312
20260312,30050,31650,29650,30200,3546369,108413897650,001440,대한전선,2026-03-12T08:49:33,20260312
20260312,30500,30750,29900,29900,563192,16943226325,001450,현대해상,2026-03-12T08:49:33,20260312
20260312,9900,9900,9900,9900,0,0,001570,금양,2026-03-12T08:49:33,20260312
20260312,20800,20850,20500,20800,99797,2067521050,001680,대상,2026-03-12T08:49:33,20260312
20260312,24800,24800,24350,24350,89203,2180344600,001800,오리온홀딩스,2026-03-12T08:49:33,20260312
20260312,559000,564000,532000,539000,43813,23781876500,002380,KCC,2026-03-12T08:49:33,20260312
20260312,13760,14350,13760,13930,77009,1082221650,002710,TCC스틸,2026-03-12T08:49:33,20260312
20260312,26900,27250,26550,26750,120199,3225903175,002790,아모레퍼시픽홀딩스,2026-03-12T08:49:33,20260312
20260312,138500,150000,137500,150000,3029,428865900,002840,미원상사,2026-03-12T08:49:33,20260312
20260312,140000,150000,138700,146400,36196,5320056050,003030,세아제강지주,2026-03-12T08:49:33,20260312
20260312,24300,24650,23750,24150,158762,3827973200,003090,대웅,2026-03-12T08:49:33,20260312
20260312,1100000,1119000,1068000,1075000,41164,44508111500,003230,삼양식품,2026-03-12T08:49:33,20260312
20260312,1190000,1196000,1158000,1165000,4187,4912201500,003240,태광산업,2026-03-12T08:49:33,20260312
20260312,15870,16240,15450,15510,1159242,18197427575,003380,하림지주,2026-03-12T08:49:33,20260312
20260312,24150,24500,23650,24250,2600696,62608384750,003490,대한항공,2026-03-12T08:49:33,20260312
20260312,91800,92800,90500,92800,319085,29264123800,003550,LG,2026-03-12T08:49:33,20260312
20260312,3535,3610,3505,3545,670564,2379163679,003620,KG모빌리티,2026-03-12T08:49:33,20260312
20260312,210000,213500,206500,210500,177842,37258901500,003670,포스코퓨처엠,2026-03-12T08:49:33,20260312
20260312,52800,53000,50300,52800,133686,6967857350,004000,롯데정밀화학,2026-03-12T08:49:33,20260312
20260312,37300,38950,37200,37850,1491587,56737432150,004020,현대제철,2026-03-12T08:49:33,20260312
20260312,339500,346000,334000,336500,50606,17127176000,004170,신세계,2026-03-12T08:49:33,20260312
20260312,394000,395000,373500,374000,92878,35076737000,004370,농심,2026-03-12T08:49:33,20260312
20260312,61100,62500,60300,61200,44377,2711051400,004490,세방전지,2026-03-12T08:49:33,20260312
20260312,31000,31300,30500,30950,211028,6513252875,004990,롯데지주,2026-03-12T08:49:33,20260312
20260312,14250,14370,14130,14280,86004,1226316705,005250,녹십자홀딩스,2026-03-12T08:49:33,20260312
20260312,49700,50800,49200,50800,519470,25997347000,005290,동진쎄미켐,2026-03-12T08:49:33,20260312
20260312,124700,125100,123100,124100,32262,4001548500,005300,롯데칠성,2026-03-12T08:49:33,20260312
20260312,524000,528000,513000,521000,1146292,596531161500,005380,현대차,2026-03-12T08:49:33,20260312
20260312,14680,15090,14630,15090,137652,2047901785,005420,코스모화학,2026-03-12T08:49:33,20260312
20260312,342000,351000,342000,347500,270855,94147812250,005490,POSCO홀딩스,2026-03-12T08:49:33,20260312
20260312,182200,182500,177000,178000,259721,46272987350,005830,DB손해보험,2026-03-12T08:49:33,20260312
20260312,64000,66800,63900,65000,152143,9876306100,005850,에스엘,2026-03-12T08:49:33,20260312
20260312,186600,190000,185900,187900,20319296,3809854179600,005930,삼성전자,2026-03-12T08:49:33,20260312
20260312,33200,33200,32100,32550,1315355,42795023500,005940,NH투자증권,2026-03-12T08:49:33,20260312
20260312,38700,39200,38150,38450,73176,2809033725,006040,동원산업,2026-03-12T08:49:33,20260312
20260312,255000,262500,249000,253000,143067,36292683500,006260,LS,2026-03-12T08:49:33,20260312
20260312,153800,153800,148000,149200,50596,7565747200,006280,녹십자,2026-03-12T08:49:33,20260312
20260312,21100,21750,20900,21200,884770,18869845725,006360,GS건설,2026-03-12T08:49:33,20260312
20260312,396000,402000,394000,400000,616068,245546470500,006400,삼성SDI,2026-03-12T08:49:33,20260312
20260312,131100,135800,130500,132300,42156,5580487150,006650,대한유화,2026-03-12T08:49:33,20260312
20260312,71500,72100,69000,70400,4095454,287862082700,006800,미래에셋증권,2026-03-12T08:49:33,20260312
20260312,19400,19590,18960,19070,128350,2453736445,007070,GS리테일,2026-03-12T08:49:33,20260312
20260312,371000,376500,368500,376500,5086,1893297500,007310,오뚜기,2026-03-12T08:49:33,20260312
20260312,28000,28450,27150,27650,147478,4090794525,007340,DN오토모티브,2026-03-12T08:49:33,20260312
20260312,24350,25000,24100,25000,39754,980354625,008730,율촌화학,2026-03-12T08:49:33,20260312
20260312,42800,44150,42400,44150,209603,9094681225,008770,호텔신라,2026-03-12T08:49:33,20260312
20260312,37700,38400,37000,38100,185260,6985397525,008930,한미사이언스,2026-03-12T08:49:33,20260312
20260312,403000,411000,397000,399500,477080,191871014750,009150,삼성전기,2026-03-12T08:49:33,20260312
20260312,42800,44550,42750,44550,34235,1491353500,009240,한샘,2026-03-12T08:49:33,20260312
20260312,56300,57000,55400,55900,354393,19853615150,009420,한올바이오파마,2026-03-12T08:49:33,20260312
20260312,17590,18500,17590,18070,319418,5778168805,009520,포스코엠텍,2026-03-12T08:49:33,20260312
20260312,416000,432000,413000,425000,229330,97403698750,009540,HD한국조선해양,2026-03-12T08:49:33,20260312
20260312,50600,53600,50400,53000,6304555,331998048400,009830,한화솔루션,2026-03-12T08:49:33,20260312
20260312,232000,239000,228500,238000,15990,3736115000,009970,영원무역홀딩스,2026-03-12T08:49:33,20260312
20260312,147600,171700,146700,165800,635702,104254259350,010060,OCI홀딩스,2026-03-12T08:49:33,20260312
20260312,721000,750000,718000,740000,105910,78145140000,010120,LS ELECTRIC,2026-03-12T08:49:33,20260312
20260312,1680000,1725000,1642000,1674000,20975,35008493500,010130,고려아연,2026-03-12T08:49:33,20260312
20260312,28900,30950,28700,30850,16039870,488180908500,010140,삼성중공업,2026-03-12T08:49:33,20260312
20260312,118900,120000,115000,118000,1155363,135282538950,010950,S-Oil,2026-03-12T08:49:33,20260312
20260312,256500,260500,251500,254000,167568,42601869000,011070,LG이노텍,2026-03-12T08:49:33,20260312
20260312,74100,75300,72500,74000,246423,18102145250,011170,롯데케미칼,2026-03-12T08:49:33,20260312
20260312,21050,21650,20950,21650,2458718,52742638000,011200,HMM,2026-03-12T08:49:33,20260312
20260312,85800,87100,84400,85500,118461,10130061650,011210,현대위아,2026-03-12T08:49:33,20260312
20260312,124700,124800,118800,120000,172713,20777576500,011780,금호석유화학,2026-03-12T08:49:33,20260312
20260312,101300,103500,100300,100600,239221,24170926950,011790,SKC,2026-03-12T08:49:33,20260312
20260312,415000,419500,403500,414500,389077,159934114000,012330,현대모비스,2026-03-12T08:49:33,20260312
20260312,1430000,1474000,1424000,1465000,261688,381058942500,012450,한화에어로스페이스,2026-03-12T08:49:33,20260312
20260312,25150,25300,24350,24450,119142,2933424425,012630,HDC,2026-03-12T08:49:33,20260312
20260312,81700,85500,81700,83600,181644,15179044600,012750,에스원,2026-03-12T08:49:33,20260312
20260312,285500,291000,278000,284000,68917,19500263500,014680,한솔케미칼,2026-03-12T08:49:33,20260312
20260312,25500,26050,24800,25550,90524,2291491450,014820,동원시스템즈,2026-03-12T08:49:33,20260312
20260312,47950,49050,47150,47600,1798205,85734303850,015760,한국전력,2026-03-12T08:49:33,20260312
20260312,97100,99500,96000,96000,490792,47473695050,016360,삼성증권,2026-03-12T08:49:33,20260312
20260312,76700,77800,76000,76200,622743,47595972800,017670,SK텔레콤,2026-03-12T08:49:33,20260312
20260312,88100,89800,87100,88100,182092,16031981850,017800,현대엘리베이터,2026-03-12T08:49:33,20260312
20260312,46000,49000,45850,47800,1016605,48784807225,017960,한국카본,2026-03-12T08:49:33,20260312
20260312,163500,165000,161600,162000,305886,49730556550,018260,삼성에스디에스,2026-03-12T08:49:33,20260312
20260312,4050,4190,4005,4135,8357823,34202530173,018880,한온시스템,2026-03-12T08:49:33,20260312
20260312,73900,75500,73400,74200,404848,30143575800,021240,코웨이,2026-03-12T08:49:33,20260312
20260312,32300,32850,31450,32050,1264448,40302385400,022100,포스코DX,2026-03-12T08:49:33,20260312
20260312,98000,100700,96000,97200,134273,13112156400,023530,롯데쇼핑,2026-03-12T08:49:33,20260312
20260312,23600,23650,23200,23450,1121099,26201172900,024110,기업은행,2026-03-12T08:49:33,20260312
20260312,9460,9740,9410,9580,127482,1222872045,025900,동화기업,2026-03-12T08:49:33,20260312
20260312,26100,26300,25600,26300,100647,2614500425,026960,동서,2026-03-12T08:49:33,20260312
20260312,31800,32350,31400,31850,1212962,38504681050,028050,삼성E&A,2026-03-12T08:49:33,20260312
20260312,283000,287500,277000,280500,264526,74304902000,028260,삼성물산,2026-03-12T08:49:33,20260312
20260312,5000,5250,5000,5250,3869860,19994967095,028670,팬오션,2026-03-12T08:49:33,20260312
20260312,59900,60700,59200,60700,103894,6251664150,029780,삼성카드,2026-03-12T08:49:33,20260312
20260312,20450,21100,20400,20800,590759,12283139600,030000,제일기획,2026-03-12T08:49:33,20260312
20260312,59300,61500,58600,61500,385219,23173066750,030200,KT,2026-03-12T08:49:33,20260312
