date,open,high,low,close,volume,turnover,symbol,name,fetched_at,analysis_date
20260326,16780,16780,16430,16540,118977,1969755680,000080,하이트진로,2026-03-26T08:50:44,20260326
20260326,100300,101200,98500,99000,194901,19451553150,000100,유한양행,2026-03-26T08:50:44,20260326
20260326,113200,113200,106600,108000,68267,7400725700,000120,CJ대한통운,2026-03-26T08:50:44,20260326
20260326,1247000,1264000,1215000,1239000,50783,63108608000,000150,두산,2026-03-26T08:50:44,20260326
20260326,58300,61500,58100,59400,137656,8244206600,000210,DL,2026-03-26T08:50:44,20260326
20260326,27600,27600,26550,27100,86895,2337488150,000240,한국앤컴퍼니,2026-03-26T08:50:44,20260326
20260326,1150000,1195000,1115000,1158000,225881,260582932000,000250,삼천당제약,2026-03-26T08:50:44,20260326
20260326,156500,158000,154300,154700,836063,129985821850,000270,기아,2026-03-26T08:50:44,20260326
20260326,965000,973000,931000,933000,4638576,4392674143000,000660,SK하이닉스,2026-03-26T08:50:44,20260326
20260326,62900,62900,60100,60900,45807,2819949300,000670,영풍,2026-03-26T08:50:44,20260326
20260326,158000,160300,150100,152400,664660,102332704750,000720,현대건설,2026-03-26T08:50:44,20260326
20260326,474500,475500,450000,453000,123589,56674110000,000810,삼성화재,2026-03-26T08:50:44,20260326
20260326,117400,121900,107200,111100,379203,43477345450,000880,한화,2026-03-26T08:50:44,20260326
20260326,210500,211500,202000,203000,67308,13922979750,001040,CJ,2026-03-26T08:50:44,20260326
20260326,73800,74000,69000,70200,226224,15987001200,001430,세아베스틸지주,2026-03-26T08:50:44,20260326
20260326,30350,30900,28850,29000,1779736,52751072250,001440,대한전선,2026-03-26T08:50:44,20260326
20260326,32000,32000,30800,31150,446393,13951631675,001450,현대해상,2026-03-26T08:50:44,20260326
20260326,9900,9900,9900,9900,0,0,001570,금양,2026-03-26T08:50:44,20260326
20260326,21100,21100,20600,20600,127838,2656866800,001680,대상,2026-03-26T08:50:44,20260326
20260326,25000,25700,24650,25450,322345,8155394600,001800,오리온홀딩스,2026-03-26T08:50:44,20260326
20260326,528000,529000,515000,525000,20538,10716243500,002380,KCC,2026-03-26T08:50:44,20260326
20260326,13400,13600,13180,13180,112190,1501386820,002710,TCC스틸,2026-03-26T08:50:44,20260326
20260326,28600,28600,27850,27850,102100,2871102350,002790,아모레퍼시픽홀딩스,2026-03-26T08:50:44,20260326
20260326,136700,137900,135000,137500,2678,365267300,002840,미원상사,2026-03-26T08:50:44,20260326
20260326,198800,201000,182700,192000,50711,9598694750,003030,세아제강지주,2026-03-26T08:50:44,20260326
20260326,24500,25500,24200,24450,100400,2492953825,003090,대웅,2026-03-26T08:50:44,20260326
20260326,1229000,1239000,1183000,1188000,36090,43555477000,003230,삼양식품,2026-03-26T08:50:44,20260326
20260326,1199000,1214000,1168000,1179000,1964,2332317000,003240,태광산업,2026-03-26T08:50:44,20260326
