date,open,high,low,close,volume,turnover,symbol,name,fetched_at,analysis_date
20260414,17250,17400,17160,17230,102798,1771354365,000080,하이트진로,2026-04-14T09:04:23,20260414
20260414,92900,94200,92900,93600,185440,17356676900,000100,유한양행,2026-04-14T09:04:23,20260414
20260414,104100,105600,102300,104200,83638,8645322800,000120,CJ대한통운,2026-04-14T09:04:23,20260414
20260414,1346000,1399000,1346000,1370000,86803,119815349500,000150,두산,2026-04-14T09:04:23,20260414
20260414,64500,66500,62500,65500,171806,11222620050,000210,DL,2026-04-14T09:04:23,20260414
20260414,24650,25700,24650,25400,82703,2089603300,000240,한국앤컴퍼니,2026-04-14T09:04:23,20260414
20260414,534000,534000,512000,520000,187115,97423178500,000250,삼천당제약,2026-04-14T09:04:23,20260414
20260414,149800,151700,149100,149200,924805,138910633000,000270,기아,2026-04-14T09:04:23,20260414
20260414,1092000,1128000,1078000,1103000,4710738,5220242986500,000660,SK하이닉스,2026-04-14T09:04:23,20260414
20260414,60300,64300,59700,62700,45170,2837460400,000670,영풍,2026-04-14T09:04:23,20260414
20260414,180400,180500,173900,176700,1110504,196564172900,000720,현대건설,2026-04-14T09:04:23,20260414
20260414,491000,492000,474500,489500,200078,97082944250,000810,삼성화재,2026-04-14T09:04:23,20260414
20260414,124900,127900,123500,123900,272345,34187415450,000880,한화,2026-04-14T09:04:23,20260414
20260414,203000,204500,194500,197100,199467,39417268300,001040,CJ,2026-04-14T09:04:23,20260414
20260414,64000,71300,63800,67600,443697,30366823800,001430,세아베스틸지주,2026-04-14T09:04:23,20260414
20260414,33050,33050,31850,32150,3425175,110752168675,001440,대한전선,2026-04-14T09:04:23,20260414
20260414,30050,30450,29950,30350,346227,10437237875,001450,현대해상,2026-04-14T09:04:23,20260414
20260414,9900,9900,9900,9900,0,0,001570,금양,2026-04-14T09:04:23,20260414
20260414,20900,21100,20700,21050,154196,3225630725,001680,대상,2026-04-14T09:04:23,20260414
20260414,23650,24900,23550,24550,166186,4048116575,001800,오리온홀딩스,2026-04-14T09:04:23,20260414
20260414,520000,547000,516000,542000,35406,18958794000,002380,KCC,2026-04-14T09:04:23,20260414
20260414,17100,17150,16270,16530,340235,5646394685,002710,TCC스틸,2026-04-14T09:04:23,20260414
20260414,27350,27450,27200,27300,52169,1425163500,002790,아모레퍼시픽홀딩스,2026-04-14T09:04:23,20260414
20260414,133500,137600,133500,137300,4278,579298000,002840,미원상사,2026-04-14T09:04:23,20260414
20260414,237500,238000,224000,232500,45784,10583731000,003030,세아제강지주,2026-04-14T09:04:23,20260414
20260414,22450,22700,22200,22300,56911,1274135625,003090,대웅,2026-04-14T09:04:23,20260414
20260414,1290000,1290000,1238000,1254000,46807,58861708000,003230,삼양식품,2026-04-14T09:04:23,20260414
20260414,1168000,1250000,1168000,1241000,3723,4539366500,003240,태광산업,2026-04-14T09:04:23,20260414
20260414,13650,13900,13550,13630,741290,10144383625,003380,하림지주,2026-04-14T09:04:23,20260414
20260414,24650,24700,24200,24700,1802424,44060968500,003490,대한항공,2026-04-14T09:04:23,20260414
20260414,91900,92500,91400,91400,297723,27367302400,003550,LG,2026-04-14T09:04:23,20260414
20260414,3845,4120,3830,4040,2738032,10958080357,003620,KG모빌리티,2026-04-14T09:04:23,20260414
20260414,218000,218500,212500,213000,134605,28890758000,003670,포스코퓨처엠,2026-04-14T09:04:23,20260414
20260414,50800,51900,50400,51500,47291,2419602300,004000,롯데정밀화학,2026-04-14T09:04:23,20260414
20260414,39600,40400,38900,39550,998266,39540682725,004020,현대제철,2026-04-14T09:04:23,20260414
20260414,346000,352000,340000,346500,33529,11591167750,004170,신세계,2026-04-14T09:04:23,20260414
20260414,375500,377000,373000,375000,11848,4434473500,004370,농심,2026-04-14T09:04:23,20260414
20260414,60100,60800,59900,60500,28261,1707529250,004490,세방전지,2026-04-14T09:04:23,20260414
20260414,28550,28700,28150,28400,216572,6136676725,004990,롯데지주,2026-04-14T09:04:23,20260414
20260414,13740,13910,13740,13900,110129,1522916755,005250,녹십자홀딩스,2026-04-14T09:04:23,20260414
20260414,54000,54000,51100,52300,1190997,61923996200,005290,동진쎄미켐,2026-04-14T09:04:23,20260414
20260414,117200,118600,116800,118200,15351,1803796450,005300,롯데칠성,2026-04-14T09:04:23,20260414
20260414,492500,501500,489000,491500,778907,385833051250,005380,현대차,2026-04-14T09:04:23,20260414
20260414,15950,15990,15620,15680,171551,2700074105,005420,코스모화학,2026-04-14T09:04:23,20260414
20260414,367000,367500,361000,361500,213490,77522620250,005490,POSCO홀딩스,2026-04-14T09:04:23,20260414
20260414,167700,171600,167700,171500,147407,25011453800,005830,DB손해보험,2026-04-14T09:04:23,20260414
20260414,56500,58400,56350,58100,139309,7991388850,005850,에스엘,2026-04-14T09:04:23,20260414
20260414,208000,210000,205500,206500,22682923,4717234768250,005930,삼성전자,2026-04-14T09:04:23,20260414
20260414,34800,35750,34700,35200,874254,30825307975,005940,NH투자증권,2026-04-14T09:04:23,20260414
20260414,38700,38850,38450,38700,52301,2019436425,006040,동원산업,2026-04-14T09:04:23,20260414
20260414,305000,307000,293000,301500,177138,53393577750,006260,LS,2026-04-14T09:04:23,20260414
20260414,143000,144800,143000,144000,31126,4478969400,006280,녹십자,2026-04-14T09:04:23,20260414
20260414,37600,38000,35650,37450,3658598,135507998025,006360,GS건설,2026-04-14T09:04:23,20260414
20260414,485500,491000,463000,470500,798652,378575712500,006400,삼성SDI,2026-04-14T09:04:23,20260414
20260414,153900,157700,150600,152000,51061,7811047600,006650,대한유화,2026-04-14T09:04:23,20260414
20260414,67400,74100,67100,72400,9966408,714772360450,006800,미래에셋증권,2026-04-14T09:04:23,20260414
20260414,21850,22750,21750,22750,143003,3199071050,007070,GS리테일,2026-04-14T09:04:23,20260414
20260414,363500,367500,361500,367500,3815,1392867250,007310,오뚜기,2026-04-14T09:04:23,20260414
20260414,35900,37000,35300,36200,206746,7473281875,007340,DN오토모티브,2026-04-14T09:04:23,20260414
20260414,27600,27600,26550,26600,88273,2394341075,008730,율촌화학,2026-04-14T09:04:23,20260414
20260414,48900,49050,47500,48550,221942,10698231150,008770,호텔신라,2026-04-14T09:04:23,20260414
