date,open,high,low,close,volume,turnover,symbol,name,fetched_at,analysis_date
20260310,16830,16870,16450,16510,181604,3008614620,000080,하이트진로,2026-03-11T08:49:33,20260310
20260310,99000,99100,97000,98500,206994,20332915000,000100,유한양행,2026-03-11T08:49:33,20260310
20260310,112500,115200,110500,113800,80907,9202638700,000120,CJ대한통운,2026-03-11T08:49:33,20260310
20260310,1049000,1077000,1017000,1053000,80997,85588225500,000150,두산,2026-03-11T08:49:33,20260310
20260310,43000,43250,41700,42950,61980,2646893050,000210,DL,2026-03-11T08:49:33,20260310
20260310,25750,25750,24850,25100,131936,3325178350,000240,한국앤컴퍼니,2026-03-11T08:49:33,20260310
20260310,823000,823000,759000,786000,252379,200073302000,000250,삼천당제약,2026-03-11T08:49:33,20260310
20260310,160200,163000,157000,161000,1765368,282690077350,000270,기아,2026-03-11T08:49:33,20260310
20260310,915000,950000,899000,938000,5304897,4926971087500,000660,SK하이닉스,2026-03-11T08:49:33,20260310
20260310,54600,54600,51800,52900,36846,1934171750,000670,영풍,2026-03-11T08:49:33,20260310
20260310,155500,160400,149000,152000,1212368,187265191100,000720,현대건설,2026-03-11T08:49:33,20260310
20260310,491500,494500,476000,488500,106680,51864503250,000810,삼성화재,2026-03-11T08:49:33,20260310
20260310,127400,130900,122600,126000,245281,31147614100,000880,한화,2026-03-11T08:49:33,20260310
20260310,177700,180000,174800,177100,129163,22861677000,001040,CJ,2026-03-11T08:49:33,20260310
20260310,60800,63200,60000,61900,184463,11410002850,001430,세아베스틸지주,2026-03-11T08:49:33,20260310
20260310,30350,30600,29150,29650,3124008,93582350125,001440,대한전선,2026-03-11T08:49:33,20260310
20260310,30750,30800,29800,30050,306785,9274745850,001450,현대해상,2026-03-11T08:49:33,20260310
20260310,9900,9900,9900,9900,0,0,001570,금양,2026-03-11T08:49:33,20260310
20260310,20550,20650,20350,20450,94138,1926000700,001680,대상,2026-03-11T08:49:33,20260310
20260310,23700,24300,23600,24200,136068,3262525175,001800,오리온홀딩스,2026-03-11T08:49:33,20260310
20260310,530000,532000,502000,511000,33171,17006674000,002380,KCC,2026-03-11T08:49:33,20260310
20260310,14000,14110,13590,13800,78239,1083582385,002710,TCC스틸,2026-03-11T08:49:33,20260310
20260310,27100,27100,26000,26250,113383,2987588700,002790,아모레퍼시픽홀딩스,2026-03-11T08:49:33,20260310
20260310,138700,140900,137600,140500,1981,274291450,002840,미원상사,2026-03-11T08:49:33,20260310
